tid,"ll_img","tag"
1,"LMOBPS450010008","murder"
2,"LMOBPS450010008","prisoner"
3,"LMOBPS450050035","indictment"
4,"LMOBPS450050035","murder"
5,"LMOBPS450050035","prisoner"
6,"LMOBPS450080031","assault"
7,"LMOBPS450080031","indictment"
8,"LMOBPS450080031","prisoner"
9,"LMOBPS450080031","riot"
10,"LMOBPS450080035","coining_forgery"
11,"LMOBPS450080035","indictment"
12,"LMOBPS450080035","prisoner"
13,"LMOBPS450080035","recognizances"
14,"LMOBPS450080035","robbery"
15,"LMOBPS450080035","theft"
16,"LMOBPS450080078","indictment"
17,"LMOBPS450080078","prisoner"
18,"LMOBPS450080078","receiving"
19,"LMOBPS450090106","friends"
20,"LMOBPS450090106","indictment"
21,"LMOBPS450090106","prisoner"
22,"LMOBPS450090106","receiving"
23,"LMOBPS450090106","wife"
24,"LMOBPS450100121","felony"
25,"LMOBPS450100121","prisoner"
26,"LMOBPS450100181","felony"
27,"LMOBPS450100181","prisoner"
28,"LMOBPS450120174","debtor"
29,"LMOBPS450120174","indictment"
30,"LMOBPS450120174","prisoner"
31,"LMOBPS450120174","recognizances"
32,"LMOBPS450120222","debtor"
33,"LMOBPS450120222","friends"
34,"LMOBPS450120222","indictment"
35,"LMOBPS450120222","prisoner"
36,"LMOBPS450120222","recognizances"
37,"LMOBPS450140019","assault"
38,"LMOBPS450140019","felony"
39,"LMOBPS450140019","murder"
40,"LMOBPS450140019","prisoner"
41,"LMOBPS450140019","riot"
42,"LMOBPS450140095","prisoner"
43,"LMOBPS450140095","theft"
44,"LMOBPS450140187","felony"
45,"LMOBPS450140187","indictment"
46,"LMOBPS450140187","prisoner"
47,"LMOBPS450140187","theft"
48,"LMOBPS450150276","prisoner"
49,"LMOBPS450150277","murder"
50,"LMOBPS450150277","prisoner"
51,"LMOBPS450170099","indictment"
52,"LMOBPS450170099","is_poor"
53,"LMOBPS450170099","recognizances"
54,"LMOBPS450170099","theft"
55,"LMOBPS450190353","indictment"
56,"LMOBPS450190353","prisoner"
57,"LMOBPS450190353","theft"
58,"LMOBPS450190417","disability"
59,"LMOBPS450190417","indictment"
60,"LMOBPS450190417","prisoner"
61,"LMOBPS450190417","theft"
62,"LMOBPS450190434","apprentice"
63,"LMOBPS450190434","children"
64,"LMOBPS450190434","prisoner"
65,"LMOBPS450190434","recognizances"
66,"LMOBPS450220210","coining_forgery"
67,"LMOBPS450220210","prisoner"
68,"LMOBPS450360396","children"
69,"LMOBPS450360396","is_poor"
70,"LMOBPS450360396","prisoner"
71,"LMOBPS450360396","recognizances"
72,"LMOBPS450360396","wife"
73,"LMSLPS150010043","churchwardens_petition"
74,"LMSLPS150010043","rates"
75,"LMSLPS150010044","children"
76,"LMSLPS150010044","churchwardens_petition"
77,"LMSLPS150010044","settlement"
78,"LMSLPS150010045","churchwardens_petition"
79,"LMSLPS150010048","churchwardens_petition"
80,"LMSLPS150020032","apprentice"
81,"LMSLPS150020034","churchwardens_petition"
82,"LMSLPS150020034","rates"
83,"LMSLPS150020035","children"
84,"LMSLPS150020035","churchwardens_overseers"
85,"LMSLPS150020041","churchwardens_petition"
86,"LMSLPS150020041","parents"
87,"LMSLPS150030045","recognizances"
88,"LMSLPS150030174","churchwardens_petition"
89,"LMSLPS150030174","removal"
90,"LMSLPS150030174","settlement"
91,"LMSLPS150030174","wife"
92,"LMSLPS150030176","churchwardens_petition"
93,"LMSLPS150030176","disability"
94,"LMSLPS150030176","removal"
95,"LMSLPS150030176","settlement"
96,"LMSLPS150030176","spinster"
97,"LMSLPS150030176","widow"
98,"LMSLPS150030179","children"
99,"LMSLPS150030179","churchwardens_petition"
100,"LMSLPS150030179","parents"
101,"LMSLPS150030179","removal"
102,"LMSLPS150030179","settlement"
103,"LMSLPS150030182","children"
104,"LMSLPS150030182","churchwardens_petition"
105,"LMSLPS150030182","removal"
106,"LMSLPS150030182","settlement"
107,"LMSLPS150030182","wife"
108,"LMSLPS150040196","churchwardens_petition"
109,"LMSLPS150040196","parishioners"
110,"LMSLPS150040196","removal"
111,"LMSLPS150040196","settlement"
112,"LMSLPS150040198","churchwardens_petition"
113,"LMSLPS150040198","removal"
114,"LMSLPS150040198","settlement"
115,"LMSLPS150040198","wife"
116,"LMSLPS150040200","apprentice"
117,"LMSLPS150040200","churchwardens_petition"
118,"LMSLPS150040200","removal"
119,"LMSLPS150040200","settlement"
120,"LMSLPS150040200","wife"
121,"LMSLPS150040205","churchwardens_petition"
122,"LMSLPS150040205","husband"
123,"LMSLPS150040205","removal"
124,"LMSLPS150040205","settlement"
125,"LMSLPS150040205","wife"
126,"LMSLPS150040207","churchwardens_petition"
127,"LMSLPS150040207","wife"
128,"LMSLPS150040211","churchwardens_petition"
129,"LMSLPS150040211","removal"
130,"LMSLPS150040211","settlement"
131,"LMSLPS150040211","wife"
132,"LMSLPS150040213","churchwardens_petition"
133,"LMSLPS150040213","widow"
134,"LMSLPS150040216","churchwardens_petition"
135,"LMSLPS150040216","husband"
136,"LMSLPS150040216","parents"
137,"LMSLPS150040217","churchwardens_petition"
138,"LMSLPS150040220","apprentice"
139,"LMSLPS150040220","children"
140,"LMSLPS150040220","churchwardens_petition"
141,"LMSLPS150040220","removal"
142,"LMSLPS150040220","servant"
143,"LMSLPS150040220","settlement"
144,"LMSLPS150040220","wife"
145,"LMSLPS150040221","children"
146,"LMSLPS150040221","churchwardens_petition"
147,"LMSLPS150040229","churchwardens_petition"
148,"LMSLPS150040229","parishioners"
149,"LMSLPS150040229","rates"
150,"LMSLPS150050042","assault"
151,"LMSLPS150050042","indictment"
152,"LMSLPS150050072","churchwardens_petition"
153,"LMSLPS150050072","rates"
154,"LMSLPS150050157","churchwardens_petition"
155,"LMSLPS150050157","husband"
156,"LMSLPS150050157","poor"
157,"LMSLPS150050157","removal"
