tid,"ll_img","tag"
61,"LMOBPS450190434","apprentice"
79,"LMSLPS150020032","apprentice"
115,"LMSLPS150040200","apprentice"
137,"LMSLPS150040220","apprentice"
274,"LMSLPS150070050","apprentice"
367,"LMSLPS150070211","apprentice"
377,"LMSLPS150070220","apprentice"
405,"LMSLPS150080078","apprentice"
450,"LMSLPS150080153","apprentice"
462,"LMSLPS150080160","apprentice"
467,"LMSLPS150080162","apprentice"
503,"LMSLPS150090011","apprentice"
527,"LMSLPS150090086","apprentice"
533,"LMSLPS150090090","apprentice"
546,"LMSLPS150090097","apprentice"
606,"LMSLPS150100114","apprentice"
618,"LMSLPS150100120","apprentice"
626,"LMSLPS150100124","apprentice"
646,"LMSLPS150100134","apprentice"
656,"LMSLPS150100136","apprentice"
673,"LMSLPS150100146","apprentice"
697,"LMSLPS150100165","apprentice"
730,"LMSLPS150110151","apprentice"
738,"LMSLPS150110158","apprentice"
747,"LMSLPS150110167","apprentice"
751,"LMSLPS150110169","apprentice"
783,"LMSLPS150110191","apprentice"
791,"LMSLPS150110194","apprentice"
824,"LMSLPS150110208","apprentice"
849,"LMSLPS150120038","apprentice"
956,"LMSLPS150140114","apprentice"
962,"LMSLPS150140115","apprentice"
968,"LMSLPS150140116","apprentice"
1078,"LMSLPS150170092","apprentice"
1092,"LMSLPS150170102","apprentice"
1104,"LMSLPS150170108","apprentice"
1111,"LMSLPS150170112","apprentice"
1147,"LMSLPS150180077","apprentice"
1156,"LMSLPS150180082","apprentice"
1228,"LMSLPS150190065","apprentice"
1269,"LMSLPS150190085","apprentice"
1273,"LMSLPS150190087","apprentice"
1383,"LMSLPS150210066","apprentice"
1433,"LMSLPS150210090","apprentice"
1545,"LMSLPS150220078","apprentice"
1619,"LMSLPS150220117","apprentice"
1727,"LMSLPS150240043","apprentice"
1827,"LMSLPS150250002","apprentice"
1924,"LMSLPS150260074","apprentice"
2309,"LMSLPS150290046","apprentice"
2492,"LMSLPS150310098","apprentice"
2497,"LMSLPS150310123","apprentice"
2504,"LMSLPS150310125","apprentice"
2525,"LMSLPS150310132","apprentice"
2530,"LMSLPS150310134","apprentice"
2616,"LMSLPS150310177","apprentice"
2670,"LMSLPS150320127","apprentice"
2680,"LMSLPS150320131","apprentice"
2706,"LMSLPS150320140","apprentice"
2719,"LMSLPS150320146","apprentice"
2725,"LMSLPS150320148","apprentice"
2732,"LMSLPS150320150","apprentice"
2738,"LMSLPS150320152","apprentice"
2743,"LMSLPS150320154","apprentice"
2797,"LMSLPS150330119","apprentice"
3039,"LMSLPS150350021","apprentice"
3045,"LMSLPS150350076","apprentice"
3082,"LMSLPS150350128","apprentice"
3247,"LMSLPS150370011","apprentice"
3324,"LMSLPS150410053","apprentice"
3425,"LMSLPS150420039","apprentice"
3667,"LMSLPS150440057","apprentice"
3670,"LMSLPS150440058","apprentice"
3757,"LMSLPS150450006","apprentice"
3957,"LMSLPS150460099","apprentice"
3960,"LMSLPS150470008","apprentice"
3962,"LMSLPS150470009","apprentice"
3963,"LMSLPS150470010","apprentice"
3969,"LMSLPS150470021","apprentice"
4254,"LMSLPS150500008","apprentice"
4261,"LMSLPS150500053","apprentice"
